rank,molecule_chembl_id,pref_name,pred_pIC50,pred_active_prob,nn_tanimoto_to_potent,nn_potent_id,nn_potent_pIC50,ad_max_sim_to_train,in_domain,pains,consensus_score,first_approval,withdrawn_flag,clean_smiles
1805,CHEMBL944,CHLOROPROCAINE HYDROCHLORIDE,5.093295199075996,0.168,0.20270270270270271,CHEMBL4862584,7.920818753952375,0.2857142857142857,False,False,0.34017595307917886,1955.0,False,CCN(CC)CCOC(=O)c1ccc(N)cc1Cl
1806,CHEMBL1808388,BEXAGLIFLOZIN,5.257294218936344,0.30086666666666667,0.1839080459770115,CHEMBL4777850,7.275724130399211,0.1875,False,False,0.34007121910347715,2023.0,False,OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(OCCOC4CC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O
1807,CHEMBL1200848,HYDROXYPROGESTERONE CAPROATE,5.499357101800184,0.3288333333333333,0.15555555555555556,CHEMBL4860098,7.853871964321762,0.19101123595505617,False,False,0.33933808127356513,1975.0,True,CCCCCC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
1808,CHEMBL436,TOLRESTAT,4.933590791839827,0.194,0.22093023255813954,CHEMBL6064497,7.154901959985743,0.26666666666666666,False,False,0.3392333472978634,1989.0,True,COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F
1809,CHEMBL1200743,IOXAGLATE SODIUM,5.378973194561459,0.494,0.16853932584269662,CHEMBL5924360,7.266000713461613,0.18604651162790697,False,False,0.3388144113950565,1985.0,False,CNC(=O)c1c(I)c(C(=O)NCC(=O)Nc2c(I)c(C(=O)[O-])c(I)c(C(=O)NCCO)c2I)c(I)c(N(C)C(C)=O)c1I
1810,CHEMBL4594379,FOSLEVODOPA,5.052217883981175,0.20011515151515152,0.2077922077922078,CHEMBL5792531,7.416341332625912,0.3333333333333333,True,False,0.3388144113950565,2024.0,False,N[C@@H](Cc1ccc(OP(=O)(O)O)c(O)c1)C(=O)O
1811,CHEMBL4650319,MOBOCERTINIB,5.081324580019888,0.415,0.2037037037037037,CHEMBL5272231,7.886056647693163,0.23140495867768596,False,False,0.3383954754922497,2021.0,False,C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
1812,CHEMBL1399,ANASTROZOLE,5.091449522847339,0.143,0.20270270270270271,CHEMBL5982293,7.503070351926785,0.208955223880597,False,False,0.338290741516548,1995.0,False,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1
1813,CHEMBL3989559,PANTOPRAZOLE SODIUM,4.9795298511278,0.278,0.21505376344086022,CHEMBL4757655,7.1121219810779515,0.2608695652173913,False,False,0.33713866778382906,2000.0,False,COc1ccnc(C[S+]([O-])c2nc3cc(OC(F)F)ccc3[n-]2)c1OC
1814,CHEMBL1200426,METHIXENE HYDROCHLORIDE,5.034298257521152,0.2012,0.20967741935483872,CHEMBL5996413,7.782516055786093,0.25862068965517243,False,False,0.33692919983242564,1982.0,False,CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1
1815,CHEMBL24072,PRENYLAMINE,5.007434021146854,0.096,0.21212121212121213,CHEMBL4568628,7.217076090663241,0.3055555555555556,True,False,0.3354629241726016,,True,CC(Cc1ccccc1)NCCC(c1ccccc1)c1ccccc1
1816,CHEMBL848,LENALIDOMIDE,5.300413256135042,0.1482,0.17647058823529413,CHEMBL5438361,7.614393726401688,0.2840909090909091,False,False,0.3351487222454964,2005.0,False,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O
1817,CHEMBL2107381,URIDINE TRIACETATE,5.168436434712139,0.25866666666666666,0.1935483870967742,CHEMBL4529203,7.347753658996677,0.22535211267605634,False,False,0.33504398826979476,2015.0,False,CC(=O)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O
1818,CHEMBL2107431,LYNESTRENOL,5.526160354570387,0.3252,0.1506849315068493,CHEMBL6019793,8.359518563029578,0.1780821917808219,False,False,0.3347297863426896,,True,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C
1819,CHEMBL1764,LEVOMEPROMAZINE,5.284375085664405,0.16733333333333333,0.1780821917808219,CHEMBL5835163,7.060980223551334,0.25925925925925924,False,False,0.33410138248847926,1982.0,False,COc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2
1820,CHEMBL425,OLSALAZINE,5.132285707134343,0.106,0.19672131147540983,CHEMBL5272231,7.886056647693163,0.3695652173913043,True,True,0.33336824465856724,1990.0,False,O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O
