clean_smiles,pIC50_ido1,pIC50_tdo2
CC1CCCC1C(O)c1c(C(F)(F)F)sc2cncn12,6.718966632752273,6.728158393463501
CC1CCCC1C(O)c1c(C2CC2)sc2cncn12,8.075720713938118,7.151195298948196
CC1CCCCC1CC(O)c1c(C(F)(F)F)sc2cncn12,6.782516055786093,5.5718652059712115
CC1CCCCC1CC(O)c1c(C2CC2)sc2cncn12,7.3448615651886175,6.386158178123931
CC1Oc2cc3c(-c4c(O)cc(O)c5c(O)c6c(cc45)OC(C)C(C)C6=O)c(O)cc(O)c3c(O)c2C(=O)C1C,4.355659901173677,4.313810765755976
CCC(C(=O)Nc1ccc(Cl)cc1)N1CCC2(CCOc3cc(C(F)(F)F)ccc32)CC1,7.182258126592544,4.928117992693875
CCC1CCC(C(O)c2c(C3CC3)sc3cncn23)CC1,7.447331783887806,6.2343314452409855
CCC1CCC(CC(O)c2c(C3CC3)sc3cncn23)CC1,7.066512712151295,5.698970004336019
CCC1CCCC1C(O)c1c(C2CC2)sc2cncn12,7.531652669587842,6.642065152999546
CCCC1CCC(CC(O)c2c(C3CC3)sc3cncn23)CC1,6.16304326294045,5.490797477668897
CCCOc1cc(Nc2cc(NC(C)=O)cc3[nH]c(C(=O)O)cc23)ccc1F,5.8297382846050425,5.350665141287858
CCCc1sc2cncn2c1C(O)C1CCCCC1,7.305394801066432,6.815308569182402
CCCc1sc2cncn2c1C(O)CC1CCCCC1,7.434152181326482,6.22548303427145
CCN(CC)C(=O)Cc1ccc(Cn2nnc3c2C(=O)c2ccccc2C3=O)cc1,6.035363296211498,6.838631997765025
CCN(CC)C(=O)c1ccc(Cn2nnc3c2C(=O)c2ccccc2C3=O)cc1,5.714892970433188,6.7423214251308154
CCN(CC)C(=O)c1cccc(Cn2nnc3c2C(=O)c2ccccc2C3=O)c1,6.0101054362812265,7.045757490560675
CCN(CC)C(=O)c1coc2c1C(=O)C(=O)c1c-2ccc2c1C=CC(=O)C2(C)C,5.485452247339714,5.020451625295905
CCNC1=C/C(=N\c2ccc(F)c(Cl)c2)c2cc(C(=O)O)[nH]c2C1=O,7.744727494896693,7.602059991327963
CCNc1cc(Nc2ccc(F)c(Cl)c2)c2cc(C(=O)O)[nH]c2c1,5.756961951313706,5.452225294612178
CCOC(=O)/C=C/c1ccc2nc3n(c(=O)c2c1)-c1ccc(F)cc1C3=O,7.210108201691595,6.431798275933005
CCOC(=O)C(C(=O)OCC)=C1C(=O)Nc2ccccc21,6.031517051446065,4.148680487351255
CCOP(=O)(CC)NCCNc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1,7.394921031173379,5.5951662833800615
CCOc1cc(Nc2cc(NC(C)=O)cc3[nH]c(C(=O)O)cc23)ccc1F,5.657577319177793,5.289882634888183
CC[C@@H](C(=O)Nc1ccc(Cl)cc1)N1CCC2(CC1)COc1cc(C(F)(F)F)ccc12,7.182258126592544,4.943095148663527
CC[C@H](C(=O)Nc1ccc(Cl)cc1)N1CCC2(CC1)COc1cc(C(F)(F)F)ccc12,6.962573502059376,4.809668301829708
CC[C@H](C(=O)Nc1ccc(Cl)cn1)[C@H]1CC[C@]2(CC1)COc1cc(C(F)(F)F)ccc12,7.324875990832918,4.578396073130169
CC[C@H](C)c1sc2cncn2c1C(O)C1CCCCC1,6.764471553092451,6.016824927962187
CCc1ccc(C(O)c2c(C3CC3)sc3cncn23)cc1,7.221125527997261,5.815308569182402
CCc1cccc(C(O)c2c(C3CC3)sc3cncn23)c1,6.920818753952375,5.732828271596986
CCc1sc2cncn2c1C(O)C1(C)CCCC1,8.303643611266669,7.542118103266008
CCc1sc2cncn2c1C(O)C1(C)CCCCC1,8.152427340857887,7.175223537524454
CCc1sc2cncn2c1C(O)C1CC(C)(C)C1,8.177178354696895,7.137272471682025
CCc1sc2cncn2c1C(O)C1CCCCC1,8.126449534317507,7.548998554324635
CCc1sc2cncn2c1C(O)CC1CCC(C)(C)CC1,6.928117992693875,5.889410289700751
CCc1sc2cncn2c1C(O)CC1CCCC1,7.539102157243452,6.692503962086787
CCc1sc2cncn2c1C(O)CC1CCCCC1,8.178486471595226,6.52432881167557
CCc1sc2cncn2c1C(O)c1ccccc1,7.226945306635737,6.709965388637482
CCc1sc2cncn2c1[C@@H](O)CC1CCCCC1,8.106793246940152,6.694648630553377
CCc1sc2cncn2c1[C@H](O)CC1CCCCC1,5.924453038607469,5.002176919254275
CN(C)CCNC(=O)c1c2c(n3ccccc13)C(=O)c1cccnc1C2=O,6.3170875965703175,5.145693958198919
CN(C)CCNC(=O)c1c2c(n3ccccc13)C(=O)c1ncccc1C2=O,6.5140699586105,5.474955192963154
CN(C)CCc1ccc2nc3n(c(=O)c2c1)C1C=CC(F)=CC1C3=O,7.698970004336019,7.221848749616356
CN(C)Cc1ccc2nc3n(c(=O)c2c1)-c1ccc(F)cc1C3=O,6.958607314841775,7.045757490560675
CN(C)c1ccc2nc3n(c(=O)c2c1)-c1ccc(F)cc1C3=O,5.054531414868181,5.906578314837765
CN1C(=O)C(N2CCN(Cc3cc(C(F)(F)F)cn4cncc34)CC2)C(=O)C1(C)C,4.7594507517174005,4.7594507517174005
CN1C(=O)NC2(CCN(c3cc(C(F)(F)F)cc4cncn34)CC2(C)C)C1=O,6.199970640755866,5.5699249444480605
CN1C(=O)NC2(CCN(c3cc(C(F)(F)F)cc4cncn34)CC2)C1=O,5.890084136976207,5.739928612014925
CN1CCN(C(=O)c2ccc(Cn3nnc4c3C(=O)c3ccccc3C4=O)cc2)CC1,5.684239509334265,7.244727494896693
CN1CCN(C(=O)c2cccc(Cn3nnc4c3C(=O)c3ccccc3C4=O)c2)CC1,6.187797066201078,7.522878745280337
CN1CCN(CCc2ccc3nc4n(c(=O)c3c2)C2C=CC(F)=CC2C4=O)CC1,7.698970004336019,7.045757490560675
CN1CCN(Cc2ccc3nc4n(c(=O)c3c2)-c2ccc(F)cc2C4=O)CC1,6.301029995663981,6.313912356942468
CN1CCN(Cc2ccc3nc4n(c(=O)c3c2)-c2ccccc2C4=O)CC1,5.598599459218456,6.376750709602099
CN1CCN(c2ccc3nc4n(c(=O)c3c2)-c2ccc(F)cc2C4=O)CC1,5.692867856320648,6.360623199523586
CN1CCN(c2ccc3nc4n(c(=O)c3c2)-c2ccccc2C4=O)CC1,5.120904120499927,5.170696227168975
COC(=O)C1CCCN(Cc2ccc3nc4n(c(=O)c3c2)-c2ccc(F)cc2C4=O)C1,6.138231119233971,5.542118103266008
COC(=O)C1CCCN1Cc1ccc2nc3n(c(=O)c2c1)-c1ccc(F)cc1C3=O,6.246072064152084,6.522878745280337
COC(=O)C1CCN(Cc2ccc3nc4n(c(=O)c3c2)-c2ccc(F)cc2C4=O)CC1,6.372363747448347,6.00436480540245
COC(=O)c1ccc(-n2nnc3c2C(=O)c2ccccc2C3=O)cc1,7.468521082957745,7.236572006437063
COC1CCC(CC(O)c2c(C3CC3)sc3cncn23)CC1,7.94692155651658,5.876148359032914
COC1CCCC(C(O)c2c(C3CC3)sc3cncn23)C1,6.962573502059376,5.732828271596986
COC1CCCC(CC(O)c2c(C3CC3)sc3cncn23)C1,7.392544976785332,5.73754891026957
COC1CCN(C(=O)c2ccc(Cn3nnc4c3C(=O)c3ccccc3C4=O)cc2)CC1,5.797784224198868,6.679853713888946
COCCn1c2nc(=O)n(-c3ccccc3)c(=O)c-2nc2ccccc21,4.62397081827182,4.472112434047295
COCCn1cc(-c2ccc(N3CCC(C4c5c(F)cccc5-c5cncn54)CC3)cc2)cn1,7.440093374963888,6.663540266151471
COCc1sc2cncn2c1C(O)C1CCCCC1,6.128427064454121,6.485452247339714
COP(C)(=O)NCCCCNc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1,7.320376412755153,5.478861916295964
COP(C)(=O)NCCCNc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1,7.026872146400302,5.585026652029182
COP(C)(=O)NCCNc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1,7.489322643459289,5.402304814074488
COc1cc(CNc2cc(Br)cc3[nH]ncc23)c([N+](=O)[O-])cc1OC,4.734003629504921,5.982966660701219
COc1cc(Nc2c(N)oc3cnccc23)ccc1Cl,6.698970004336019,6.301029995663981
COc1cc(Nc2cc(NC(C)=O)cc3[nH]c(C(=O)O)cc23)cc(OC)c1OC,5.497572880015567,5.147520006363144
COc1cc(Nc2cc(NC(C)=O)cc3[nH]c(C(=O)O)cc23)ccc1F,5.910094888560602,5.603800652904264
COc1cc(Nc2ccc(F)c3[nH]c(C(=O)O)cc23)cc(OC)c1OC,4.653647025549361,4.632644078973981
COc1cc(Nc2ccc(F)c3[nH]c(C(=O)O)cc23)ccc1F,4.2644011003018205,4.503070351926785
COc1cc2c(Nc3ccc(F)c(Cl)c3)c(N)oc2c(-c2ccc(F)cc2)n1,6.698970004336019,6.301029995663981
COc1ccc(-c2cc3ccc(OC)c(O)c3cn2)cc1,5.475042282163251,6.346787486224656
COc1ccc(-c2cc3ccc(OC)c(OC)c3cn2)cc1,4.95311480916229,5.565431095965801
COc1ccc(-c2sc3cncn3c2C(O)C2CCCCC2)cc1,5.510041520575165,5.701146923590294
COc1ccc(C(O)c2c(C3CC3)sc3cncn23)cc1,7.060980223551334,5.6439741428068775
COc1ccc(C2c3c(C)n[nH]c3Oc3[nH]nc(N)c32)cc1O,6.913640169325252,5.522878745280337
COc1ccc(CNc2cc(-c3nnc(N4CCC(C5c6c(F)cccc6-c6cncn65)CC4)s3)ccn2)cc1,7.97469413473523,6.982966660701219
COc1ccc(Cl)cc1Nc1c(N)oc2cnccc12,6.698970004336019,6.301029995663981
COc1ccc(Nc2cc(NC(C)=O)cc3[nH]c(C(=O)O)cc23)cc1,5.767003889607846,5.521433504406157
COc1ccc(Nc2cc(NC(C)=O)cc3[nH]c(C(=O)O)cc23)cn1,5.467245621007502,5.441291429466834
COc1ccc(Nc2cc(NC(C)=O)cc3[nH]c(C(=O)O)cc23)nc1,5.325138859262188,5.278189384787454
COc1ccc(Nc2ccc(F)c(Cl)c2)c2cc(C(=O)O)[nH]c12,4.489454989793388,4.709965388637482
COc1ccc2c(c1)C(=O)c1nnn(-c3ccc(F)c(Cl)c3)c1C2=O,6.787812395596042,6.978810700930062
COc1ccc2cc(-c3ccc(Br)cc3)ncc2c1OC,4.104522203724286,4.464959186748839
COc1ccc2cc(-c3ccc(C(=O)Nc4ccccc4)cc3)ncc2c1O,4.995678626217358,5.626585634128262
COc1ccc2cc(-c3ccc(C(F)(F)F)cc3)ncc2c1O,4.81559251458768,5.137868620686962
COc1ccc2cc(-c3ccc(F)cc3)ncc2c1OC,4.370386554621817,5.041914151478915
COc1ccc2cc(-c3ccc(NC(=O)C(C)(C)C)cc3)ncc2c1O,5.55129368009492,5.920818753952375
COc1ccc2cc(-c3ccc(NC(=O)C(F)(F)F)cc3)ncc2c1O,5.212539525481585,5.935542010773082
COc1ccc2cc(-c3ccc(NC(=O)Nc4ccccc4)cc3)ncc2c1O,4.296794629304514,4.8449677712090296
COc1ccc2cc(-c3ccc(NC(=O)c4ccccc4)cc3)ncc2c1O,5.351639989019068,5.778298091556437
COc1ccc2cc(-c3ccc(NC(C)=O)cc3)ncc2c1O,5.675717544702307,6.455931955649724
COc1ccc2cc(-c3ccc(NS(=O)(=O)C(F)(F)F)cc3)ncc2c1O,6.346787486224656,6.130768280269024
COc1ccc2cc(-c3ccc(NS(=O)(=O)C4CC4)cc3)ncc2c1O,5.342944147142896,5.473660722610156
COc1ccc2cc(-c3ccc(NS(=O)(=O)N4CCCCC4)cc3)ncc2c1O,4.813326132500255,5.098541678603888
COc1ccc2cc(-c3ccc(NS(C)(=O)=O)cc3)ncc2c1O,5.272425239410087,5.764794754512035
COc1ccc2cc(-c3ccc4c(c3)OCO4)ncc2c1O,5.292429823902063,5.570190710613909
COc1ccc2cc(-c3ccccc3)ncc2c1O,5.408806941481466,5.620241620268906
COc1ccc2cc(-c3ccccc3)ncc2c1OC,5.1073489661227,6.468521082957745
COc1ccc2cc(-c3cccs3)ncc2c1O,4.677987561417599,5.991399828238082
COc1ccc2cc(-c3cccs3)ncc2c1OC,4.949233688766958,5.5376020021010435
COc1ccc2cc(C34C[C@H]5C[C@@H](C3)C[C@@H](C4)C5)ncc2c1OC,4.749092300299144,5.578396073130169
COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,6.585026652029182,7.522878745280337
COc1cccc(C(=O)Nc2ccc(-c3cc4ccc(OC)c(O)c4cn3)cc2)c1,4.846795099915716,5.38933983691012
COc1cccc(C(O)c2c(C3CC3)sc3cncn23)c1,6.600326278518962,5.480172006224281
COc1cccc(CC(O)c2c(C)sc3cncn23)c1,5.501689446210399,5.145086977692144
COc1cccc(NC(=O)C2CCC([C@@H]3c4c(F)cccc4-c4cncn43)CC2)c1,7.442492798094342,6.735182176990463
COc1ccccc1C(=O)CC(=O)c1ccc(C)cc1O,4.686132779630847,4.686132779630847
COc1ccccc1C(O)c1c(C2CC2)sc2cncn12,5.954677021213342,5.167491087293763
COc1ccccc1C(ON)c1ccccc1,5.296474592597875,4.311580177997289
CS(=O)(=O)N1CCC(Oc2ccc(N3CCC(C4c5c(F)cccc5-c5cncn54)CC3)cc2)CC1,7.809668301829708,6.614393726401688
CS(=O)(=O)N1CCC(n2cc(-c3ccc(N4CCC(C5c6c(F)cccc6-c6cncn65)CC4)cc3)cn2)CC1,7.847711655616943,6.982966660701219
