clean_smiles,pIC50,molecule_chembl_id,n_measurements,pref_name,pains
CC(=O)Nc1cccc(-n2nnc3c2C(=O)c2ccccc2C3=O)c1,7.0915149811213505,CHEMBL4763470,1,,True
CC(=O)Nc1cccc(N2CCC(C3c4c(F)cccc4-c4cncn43)CC2)c1,7.16304326294045,CHEMBL5957228,1,,False
CC(=O)OC(CC1c2ccccc2-c2cncn21)C1CCCCC1,5.259637310505756,CHEMBL6009910,1,,False
CC(=O)OCCn1c2nc(=O)[nH]c(=O)c-2nc2cc(C)c(C)cc21,4.504455662453552,CHEMBL1367036,1,,False
CC(=O)OCc1coc2c1C(=O)C(=O)c1c-2ccc2c1C=CC(=O)C2(C)C,6.638272163982407,CHEMBL5204091,3,,True
CC(=O)OCc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCC(=O)C2(C)C,5.926734438996277,CHEMBL5206950,2,,True
CC(=O)OCc1coc2c1C(=O)C(=O)c1c-2ccc2c1CC[C@H](O)C2(C)C,5.895054915659371,CHEMBL5190925,2,,True
CC(=O)ONc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1,7.036212172654444,CHEMBL5807143,1,,False
CC(=O)O[C@@H]1CCCC[C@H]1CNc1cc(Br)cc2[nH]ncc12,5.2380721615794705,CHEMBL5220436,1,,False
CC(=O)O[C@H]1CCc2c(ccc3c2C(=O)C(=O)c2c(C)coc2-3)C1(C)C,6.3979400086720375,CHEMBL5176219,1,,True
CC(=O)O[C@H]1CCc2c(ccc3c2C(=O)C(=O)c2c(CO)coc2-3)C1(C)C,5.926548565035901,CHEMBL5191984,2,,True
CC(=O)c1c(C)cc2cc3c(c(O)c2c1O)C(=O)C(C)=C(O)C3(C)C,5.494850021680094,CHEMBL505821,1,GARVEATIN A,False
CC(C(=O)NC12CC(C#N)(C1)C2)[C@H]1[C@@H]2C[C@@H](n3cnc4cc(F)c(F)cc43)C[C@@H]21,5.783042792638903,CHEMBL5802570,1,,False
CC(C(=O)NC12CC(C(C)O)(C1)C2)[C@H]1[C@@H]2C[C@@H](n3cnc4cc(F)c(F)cc43)C[C@@H]21,6.20342566678957,CHEMBL5826794,1,,False
CC(C(=O)NC12CC(C(F)(F)F)(C1)C2)[C@H]1[C@@H]2C[C@@H](n3cnc4cc(F)c(F)cc43)C[C@@H]21,6.931814138253839,CHEMBL5859175,1,,False
CC(C(=O)NC12CC(CC#N)(C1)C2)[C@H]1[C@@H]2C[C@@H](Oc3ccnc4ccc(F)cc34)C[C@@H]21,7.289882634888183,CHEMBL5821640,1,,False
CC(C(=O)NC12CC(CCO)(C1)C2)[C@H]1[C@@H]2C[C@@H](Oc3ccnc4ccc(F)cc34)C[C@@H]21,7.259637310505756,CHEMBL6024561,1,,False
CC(C(=O)NC12CC(CO)(C1)C2)[C@H]1[C@@H]2C[C@@H](Oc3ccnc4ccc(F)cc34)C[C@@H]21,6.329754146925876,CHEMBL6023354,1,,False
CC(C(=O)NC12CC(CO)(C1)C2)[C@H]1[C@@H]2C[C@@H](n3cnc4cc(F)c(F)cc43)C[C@@H]21,5.063536525995253,CHEMBL5919241,1,,False
CC(C(=O)NC12CC(F)(C1)C2)[C@H]1[C@@H]2C[C@@H](n3cnc4cc(F)c(F)cc43)C[C@@H]21,5.598771832501887,CHEMBL6018791,1,,False
CC(C(=O)NC12CC(N)(C1)C2)[C@H]1[C@@H]2C[C@@H](Oc3ccnc4ccc(F)cc34)C[C@@H]21,5.795337488251781,CHEMBL5922363,1,,False
CC(C(=O)NC12CC(NC(=O)CC#N)(C1)C2)[C@H]1[C@@H]2C[C@@H](Oc3ccnc4ccc(F)cc34)C[C@@H]21,6.196542884351586,CHEMBL6015978,1,,False
CC(C(=O)NC12CC(NC(=O)CC(F)(F)F)(C1)C2)[C@H]1[C@@H]2C[C@@H](Oc3ccnc4ccc(F)cc34)C[C@@H]21,6.127843727251707,CHEMBL5981783,1,,False
CC(C(=O)NC12CC(NC(=O)CCO)(C1)C2)[C@H]1[C@@H]2C[C@@H](Oc3ccnc4ccc(F)cc34)C[C@@H]21,6.291579099865287,CHEMBL5926348,1,,False
CC(C(=O)NC12CC(NC(=O)CO)(C1)C2)[C@H]1[C@@H]2C[C@@H](Oc3ccnc4ccc(F)cc34)C[C@@H]21,6.224025668870631,CHEMBL5885113,1,,False
CC(C(=O)NC12CC(NC(=O)OC(C)(C)C)(C1)C2)[C@H]1[C@@H]2C[C@@H](Oc3ccnc4ccc(F)cc34)C[C@@H]21,6.586700235918748,CHEMBL5786260,1,,False
CC(C(=O)NC12CC(O)(C1)C2)[C@H]1[C@@H]2C[C@@H](n3cnc4cc(F)c(F)cc43)C[C@@H]21,5.0,CHEMBL5806998,1,,False
CC(C(=O)NC12CC(c3ccc(F)cc3)(C1)C2)[C@H]1[C@@H]2C[C@@H](Oc3ccnc4ccc(F)cc34)C[C@@H]21,7.343901797987168,CHEMBL6005540,1,,False
CC(C(=O)NC12CC(c3ccc(F)cc3)(C1)C2)[C@H]1[C@@H]2C[C@@H](n3cnc4cc(F)c(F)cc43)C[C@@H]21,7.889410289700751,CHEMBL5843722,1,,False
CC(C(=O)NC1CC(F)(F)C1)[C@H]1[C@@H]2C[C@@H](n3cnc4cc(F)c(F)cc43)C[C@@H]21,5.785686102575601,CHEMBL5808986,1,,False
CC(C(=O)NC1CC(F)C1)[C@H]1[C@@H]2C[C@@H](n3cnc4cc(F)c(F)cc43)C[C@@H]21,5.466100899203405,CHEMBL5872972,1,,False
CC(C(=O)NC1CCC(F)(F)C1)[C@H]1[C@@H]2C[C@@H](n3cnc4cc(F)c(F)cc43)C[C@@H]21,6.539102157243452,CHEMBL5863947,1,,False
CC(C(=O)NC1CCC(F)(F)CC1)[C@H]1[C@@H]2C[C@@H](n3cnc4cc(F)c(F)cc43)C[C@@H]21,6.716698771296451,CHEMBL5908126,1,,False
CC(C(=O)NC1CCN(C(=O)OC(C)(C)C)CC1)[C@H]1[C@@H]2C[C@@H](Oc3ccnc4ccc(F)cc34)C[C@@H]21,5.962573502059376,CHEMBL5860642,1,,False
