molecule_chembl_id,pref_name,clean_smiles,first_approval,pred_IDO1,pred_TDO2,pred_M,pred_D,LCB_IDO1,LCB_TDO2,LCB_dual,P_dual_active,P_balanced_dual,AD_maxTanimoto,in_domain
CHEMBL1200359,SULFAMETER,COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,1966.0,5.51,5.21,5.36,0.3,4.08,4.03,4.03,0.044,0.044,0.242,False
CHEMBL139367,PERAMIVIR ANHYDROUS,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(=O)O)C[C@H]1NC(=N)N,2014.0,5.86,5.2,5.53,0.65,4.43,4.03,4.03,0.066,0.061,0.188,False
CHEMBL698,TETRACAINE,CCCCNc1ccc(C(=O)OCCN(C)C)cc1,2005.0,5.54,5.2,5.37,0.33,4.11,4.03,4.03,0.044,0.044,0.213,False
CHEMBL1237061,PITAVASTATIN CALCIUM,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1,2009.0,5.52,5.2,5.36,0.32,4.1,4.03,4.03,0.044,0.044,0.221,False
CHEMBL1482,BETHANECHOL,CC(C[N+](C)(C)C)OC(N)=O,1948.0,5.45,5.24,5.35,0.21,4.03,4.06,4.03,0.05,0.05,0.154,False
CHEMBL3545185,SELINEXOR,O=C(/C=C\n1cnc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1)NNc1cnccn1,2019.0,5.45,5.28,5.37,0.17,4.03,4.1,4.03,0.05,0.05,0.247,False
CHEMBL268869,SULFAMETHOXYPYRIDAZINE,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,,5.5,5.21,5.35,0.29,4.08,4.03,4.03,0.044,0.044,0.224,False
CHEMBL139877,SULFACARBAMIDE,NC(=O)NS(=O)(=O)c1ccc(N)cc1,,5.46,5.21,5.34,0.25,4.04,4.03,4.03,0.039,0.039,0.216,False
CHEMBL1200545,DIFLORASONE DIACETATE,CC(=O)OCC(=O)[C@@]1(OC(C)=O)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,1977.0,5.66,5.2,5.43,0.45,4.23,4.03,4.03,0.055,0.05,0.217,False
CHEMBL566534,ARTEMETHER,CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3,2009.0,5.5,5.21,5.35,0.29,4.07,4.03,4.03,0.044,0.044,0.12,False
CHEMBL1200384,BETAMETHASONE DIPROPIONATE,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,1975.0,5.63,5.2,5.42,0.43,4.21,4.02,4.02,0.05,0.044,0.2,False
CHEMBL562,GRISEOFULVIN,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,1962.0,5.45,5.2,5.33,0.26,4.03,4.02,4.02,0.039,0.039,0.186,False
CHEMBL2181927,FINERENONE,CCOc1ncc(C)c2c1[C@H](c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2,2021.0,5.99,5.19,5.59,0.79,4.56,4.02,4.02,0.077,0.072,0.205,False
CHEMBL61593,CYCLOTHIAZIDE,NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O,1982.0,6.0,5.2,5.6,0.8,4.57,4.02,4.02,0.077,0.072,0.146,False
