clean_smiles,pIC50_ido1,pIC50_tdo2,ido1_molid,tdo2_molid,src_doc,year,same_doc,M,D,scaffold
CCc1sc2cncn2c1C(O)C1(C)CCCCC1,8.152427340857887,7.175223537524454,CHEMBL6011966,CHEMBL6011966,CHEMBL5729017,2022,True,7.663825439191171,0.9772038033334329,c1sc2cncn2c1CC1CCCCC1
CCc1sc2cncn2c1C(O)C1CC(C)(C)C1,8.177178354696895,7.137272471682025,CHEMBL5977530,CHEMBL5977530,CHEMBL5729017,2022,True,7.65722541318946,1.0399058830148702,c1sc2cncn2c1CC1CCC1
CCc1sc2cncn2c1C(O)C1CCCCC1,8.126449534317507,7.548998554324635,CHEMBL5945822,CHEMBL5945822,CHEMBL5729017,2022,True,7.837724044321071,0.5774509799928715,c1sc2cncn2c1CC1CCCCC1
CCc1sc2cncn2c1C(O)CC1CCC(C)(C)CC1,6.928117992693875,5.889410289700751,CHEMBL6056258,CHEMBL6056258,CHEMBL5729017,2022,True,6.408764141197313,1.0387077029931238,c1sc2cncn2c1CCC1CCCCC1
CCc1sc2cncn2c1C(O)CC1CCCC1,7.539102157243452,6.692503962086787,CHEMBL5842388,CHEMBL5842388,CHEMBL5729017,2022,True,7.11580305966512,0.8465981951566643,c1sc2cncn2c1CCC1CCCC1
CCc1sc2cncn2c1C(O)CC1CCCCC1,8.178486471595226,6.52432881167557,CHEMBL5921138,CHEMBL5921138,CHEMBL5729017,2022,True,7.351407641635398,1.6541576599196564,c1sc2cncn2c1CCC1CCCCC1
CCc1sc2cncn2c1C(O)c1ccccc1,7.226945306635737,6.709965388637482,CHEMBL5875287,CHEMBL5875287,CHEMBL5729017,2022,True,6.96845534763661,0.5169799179982553,c1ccc(Cc2csc3cncn23)cc1
CCc1sc2cncn2c1[C@@H](O)CC1CCCCC1,8.106793246940152,6.694648630553377,CHEMBL6059448,CHEMBL6059448,CHEMBL5729017,2022,True,7.400720938746764,1.412144616386775,c1sc2cncn2c1CCC1CCCCC1
CCc1sc2cncn2c1[C@H](O)CC1CCCCC1,5.924453038607469,5.002176919254275,CHEMBL5888220,CHEMBL5888220,CHEMBL5729017,2022,True,5.463314978930872,0.9222761193531941,c1sc2cncn2c1CCC1CCCCC1
CN(C)CCNC(=O)c1c2c(n3ccccc13)C(=O)c1cccnc1C2=O,6.3170875965703175,5.145693958198919,CHEMBL4245579,CHEMBL4245579,CHEMBL4229555,2018,True,5.731390777384618,1.1713936383713985,O=C1c2cc3ccccn3c2C(=O)c2cccnc21
CN(C)CCNC(=O)c1c2c(n3ccccc13)C(=O)c1ncccc1C2=O,6.5140699586105,5.474955192963154,CHEMBL3612772,CHEMBL3612772,CHEMBL4229555,2018,True,5.994512575786827,1.039114765647346,O=C1c2cccnc2C(=O)c2c1cc1ccccn21
CN(C)CCc1ccc2nc3n(c(=O)c2c1)C1C=CC(F)=CC1C3=O,7.698970004336019,7.221848749616356,CHEMBL5417450,CHEMBL5417450,CHEMBL5385851,2023,True,7.4604093769761874,0.4771212547196626,O=C1c2nc3ccccc3c(=O)n2C2C=CC=CC12
CN(C)Cc1ccc2nc3n(c(=O)c2c1)-c1ccc(F)cc1C3=O,6.958607314841775,7.045757490560675,CHEMBL4452150,CHEMBL4452150,CHEMBL4354812,2019,True,7.002182402701225,-0.08715017571890016,O=C1c2ccccc2-n2c1nc1ccccc1c2=O
CN(C)c1ccc2nc3n(c(=O)c2c1)-c1ccc(F)cc1C3=O,5.054531414868181,5.906578314837765,CHEMBL4468741,CHEMBL4468741,CHEMBL4354812,2019,True,5.480554864852973,-0.8520468999695847,O=C1c2ccccc2-n2c1nc1ccccc1c2=O
CN1C(=O)C(N2CCN(Cc3cc(C(F)(F)F)cn4cncc34)CC2)C(=O)C1(C)C,4.7594507517174005,4.7594507517174005,CHEMBL6004007,CHEMBL6004007,CHEMBL5727445,2019,True,4.7594507517174005,0.0,O=C1CNC(=O)C1N1CCN(Cc2cccn3cncc23)CC1
CN1C(=O)NC2(CCN(c3cc(C(F)(F)F)cc4cncn34)CC2(C)C)C1=O,6.199970640755866,5.5699249444480605,CHEMBL5834656,CHEMBL5834656,CHEMBL5728673,2021,True,5.884947792601963,0.6300456963078052,O=C1NC(=O)C2(CCN(c3cccc4cncn34)CC2)N1
CN1C(=O)NC2(CCN(c3cc(C(F)(F)F)cc4cncn34)CC2)C1=O,5.890084136976207,5.739928612014925,CHEMBL5743757,CHEMBL5743757,CHEMBL5728673,2021,True,5.815006374495566,0.15015552496128226,O=C1NC(=O)C2(CCN(c3cccc4cncn34)CC2)N1
CN1CCN(C(=O)c2ccc(Cn3nnc4c3C(=O)c3ccccc3C4=O)cc2)CC1,5.684239509334265,7.244727494896693,CHEMBL3628602,CHEMBL3628602,CHEMBL3627649,2015,True,6.464483502115479,-1.5604879855624274,O=C1c2ccccc2C(=O)c2c1nnn2Cc1ccc(C(=O)N2CCNCC2)cc1
CN1CCN(C(=O)c2cccc(Cn3nnc4c3C(=O)c3ccccc3C4=O)c2)CC1,6.187797066201078,7.522878745280337,CHEMBL3628599,CHEMBL3628599,CHEMBL3627649,2015,True,6.855337905740708,-1.3350816790792592,O=C1c2ccccc2C(=O)c2c1nnn2Cc1cccc(C(=O)N2CCNCC2)c1
CN1CCN(CCc2ccc3nc4n(c(=O)c3c2)C2C=CC(F)=CC2C4=O)CC1,7.698970004336019,7.045757490560675,CHEMBL5427485,CHEMBL5427485,CHEMBL5385851,2023,True,7.372363747448347,0.653212513775344,O=C1c2nc3ccc(CCN4CCNCC4)cc3c(=O)n2C2C=CC=CC12
CN1CCN(Cc2ccc3nc4n(c(=O)c3c2)-c2ccc(F)cc2C4=O)CC1,6.301029995663981,6.313912356942468,CHEMBL4437046,CHEMBL4437046,CHEMBL4354812,2019,True,6.307471176303224,-0.01288236127848652,O=C1c2ccccc2-n2c1nc1ccc(CN3CCNCC3)cc1c2=O
CN1CCN(Cc2ccc3nc4n(c(=O)c3c2)-c2ccccc2C4=O)CC1,5.598599459218456,6.376750709602099,CHEMBL4545004,CHEMBL4545004,CHEMBL4354812,2019,True,5.987675084410277,-0.778151250383643,O=C1c2ccccc2-n2c1nc1ccc(CN3CCNCC3)cc1c2=O
CN1CCN(c2ccc3nc4n(c(=O)c3c2)-c2ccc(F)cc2C4=O)CC1,5.692867856320648,6.360623199523586,CHEMBL4536439,CHEMBL4536439,CHEMBL4354812,2019,True,6.026745527922117,-0.6677553432029377,O=C1c2ccccc2-n2c1nc1ccc(N3CCNCC3)cc1c2=O
CN1CCN(c2ccc3nc4n(c(=O)c3c2)-c2ccccc2C4=O)CC1,5.120904120499927,5.170696227168975,CHEMBL4471895,CHEMBL4471895,CHEMBL4354812,2019,True,5.14580017383445,-0.049792106669047875,O=C1c2ccccc2-n2c1nc1ccc(N3CCNCC3)cc1c2=O
COC(=O)C1CCCN(Cc2ccc3nc4n(c(=O)c3c2)-c2ccc(F)cc2C4=O)C1,6.138231119233971,5.542118103266008,CHEMBL4643729,CHEMBL4643729,CHEMBL4619726,2020,True,5.8401746112499895,0.5961130159679637,O=C1c2ccccc2-n2c1nc1ccc(CN3CCCCC3)cc1c2=O
COC(=O)C1CCCN1Cc1ccc2nc3n(c(=O)c2c1)-c1ccc(F)cc1C3=O,6.246072064152084,6.522878745280337,CHEMBL4646483,CHEMBL4646483,CHEMBL4619726,2020,True,6.384475404716211,-0.276806681128253,O=C1c2ccccc2-n2c1nc1ccc(CN3CCCC3)cc1c2=O
COC(=O)C1CCN(Cc2ccc3nc4n(c(=O)c3c2)-c2ccc(F)cc2C4=O)CC1,6.372363747448347,6.00436480540245,CHEMBL4645897,CHEMBL4645897,CHEMBL4619726,2020,True,6.188364276425398,0.36799894204589645,O=C1c2ccccc2-n2c1nc1ccc(CN3CCCCC3)cc1c2=O
COC(=O)c1ccc(-n2nnc3c2C(=O)c2ccccc2C3=O)cc1,7.468521082957745,7.236572006437063,CHEMBL4762048,CHEMBL4762048,CHEMBL4706547,2020,True,7.352546544697404,0.23194907652068153,O=C1c2ccccc2C(=O)c2c1nnn2-c1ccccc1
COC1CCC(CC(O)c2c(C3CC3)sc3cncn23)CC1,7.94692155651658,5.876148359032914,CHEMBL5792634,CHEMBL5792634,CHEMBL5729017,2022,True,6.911534957774747,2.070773197483666,c1ncn2c(CCC3CCCCC3)c(C3CC3)sc12
COC1CCCC(C(O)c2c(C3CC3)sc3cncn23)C1,6.962573502059376,5.732828271596986,CHEMBL5811790,CHEMBL5811790,CHEMBL5729017,2022,True,6.347700886828181,1.22974523046239,c1ncn2c(CC3CCCCC3)c(C3CC3)sc12
