clean_smiles,pIC50,molecule_chembl_id,n,pref_name,pains,MW,LogP,TPSA,QED,scaffold
Fc1ccc2c(/C=C/c3nnn[nH]3)c[nH]c2c1,5.255724641749778,CHEMBL1812545,18,,False,229.21800000000002,1.9904999999999995,70.25,0.7055281186626137,C(=C/c1c[nH]c2ccccc12)\c1nnn[nH]1
Fc1ccc2c(c1)C(C1CCN(c3ccccc3)CC1)n1cncc1-2,6.667561540084395,CHEMBL5853526,1,,False,333.41,4.508600000000004,21.060000000000002,0.6879408030559285,c1ccc(N2CCC(C3c4ccccc4-c4cncn43)CC2)cc1
Fc1cccc(-c2nccc3c2[nH]c2ccccc23)c1,4.961777361631282,CHEMBL5195626,1,,False,262.28700000000003,4.522200000000002,28.68,0.5364093479778023,c1ccc(-c2nccc3c2[nH]c2ccccc23)cc1
Fc1cccc(N2CCC(C3c4c(F)cccc4-c4cncn43)CC2)c1,6.430626090384954,CHEMBL4567552,2,,False,351.40000000000015,4.647700000000004,21.060000000000002,0.6701773734191964,c1ccc(N2CCC(C3c4ccccc4-c4cncn43)CC2)cc1
Fc1cccc2c1C(C1CCCC1)n1cncc1-2,7.022276394711152,CHEMBL4524854,1,,False,242.29699999999994,3.7822000000000022,17.82,0.7437112061803152,c1ccc2c(c1)-c1cncn1C2C1CCCC1
Fc1cccc2c1C(C1CCCCC1)n1cncc1-2,7.070581074285707,CHEMBL4586507,1,,False,256.32399999999996,4.172300000000003,17.82,0.7483373391510344,c1ccc2c(c1)-c1cncn1C2C1CCCCC1
Fc1cccc2c1C(C1CCN(c3ccc(-c4cccnc4)cc3)CC1)n1cncc1-2,6.73754891026957,CHEMBL4435524,1,,False,410.4960000000001,5.570600000000005,33.95,0.442729307913354,c1cncc(-c2ccc(N3CCC(C4c5ccccc5-c5cncn54)CC3)cc2)c1
Fc1cccc2c1C(C1CCN(c3ccc(-c4ccncc4)cc3)CC1)n1cncc1-2,6.452225294612178,CHEMBL4561893,1,,False,410.4960000000001,5.570600000000005,33.95,0.442729307913354,c1ccc2c(c1)-c1cncn1C2C1CCN(c2ccc(-c3ccncc3)cc2)CC1
Fc1cccc2c1C(C1CCN(c3ccc(-c4cnn(C5CCOC5)c4)cc3)CC1)n1cncc1-2,6.694648630553377,CHEMBL5948267,1,,False,469.56400000000025,5.333500000000005,48.11,0.4052172411162302,c1ccc2c(c1)-c1cncn1C2C1CCN(c2ccc(-c3cnn(C4CCOC4)c3)cc2)CC1
Fc1cccc2c1C(C1CCN(c3ccc(-c4cnn([C@@H]5CCOC5)c4)cc3)CC1)n1cncc1-2,6.528708288941061,CHEMBL5823254,1,,False,469.56400000000025,5.333500000000005,48.11,0.4052172411162302,c1ccc2c(c1)-c1cncn1C2C1CCN(c2ccc(-c3cnn([C@@H]4CCOC4)c3)cc2)CC1
Fc1cccc2c1C(C1CCN(c3ccc(Cl)cn3)CC1)n1cncc1-2,6.709965388637482,CHEMBL5966573,1,,False,368.8430000000001,4.557000000000004,33.95,0.6647202022013387,c1ccc(N2CCC(C3c4ccccc4-c4cncn43)CC2)nc1
