molecule_chembl_id,pref_name,smiles,first_approval,oral,withdrawn_flag,clean_smiles,ido1_pred,tdo2_pred,ido1_prob,tdo2_prob,ido1_ad,tdo2_ad,selectivity
CHEMBL1689063,AVIBACTAM,NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,2015.0,False,False,NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,5.704764875272463,5.53078905409329,0.29116666666666663,0.16853333333333337,0.18055555555555555,0.18421052631578946,0.1739758211791731
CHEMBL1689772,OMADACYCLINE,CN(C)c1cc(CNCC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,2018.0,True,False,CN(C)c1cc(CNCC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,5.8361536998402075,5.235359793069843,0.526,0.319,0.2,0.16,0.6007939067703649
CHEMBL1697686,CLOFOREX,CCOC(=O)NC(C)(C)Cc1ccc(Cl)cc1,,False,True,CCOC(=O)NC(C)(C)Cc1ccc(Cl)cc1,5.377283257933895,5.263144500109238,0.206,0.084,0.3157894736842105,0.25396825396825395,0.11413875782465688
CHEMBL1697708,MEZLOCILLIN SODIUM,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCN(S(C)(=O)=O)C3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[Na+],1981.0,False,False,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCN(S(C)(=O)=O)C3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-],6.496675765533629,6.92449760052979,0.4707,0.322,0.20930232558139536,0.18604651162790697,-0.4278218349961609
CHEMBL1697717,CARBENOXOLONE SODIUM,CC1(C)[C@@H](OC(=O)CCC(=O)[O-])CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)[O-])CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12.[Na+].[Na+],,False,False,CC1(C)[C@@H](OC(=O)CCC(=O)[O-])CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)[O-])CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,5.45041991600811,5.429709284940504,0.41,0.213,0.24731182795698925,0.1875,0.0207106310676064
CHEMBL1697737,CLOTIAZEPAM,CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl,,False,False,CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl,5.3219213103679275,6.003513567089093,0.275,0.386,0.24074074074074073,0.23809523809523808,-0.6815922567211654
CHEMBL1697744,ERDOSTEINE,O=C(O)CSCC(=O)NC1CCSC1=O,,False,False,O=C(O)CSCC(=O)NC1CCSC1=O,5.774104558113165,5.641836588981782,0.334,0.213,0.21333333333333335,0.14705882352941177,0.13226796913138283
CHEMBL1697751,ISAXONINE PHOSPHATE,CC(C)Nc1ncccn1.O=P(O)(O)O,,False,True,CC(C)Nc1ncccn1,4.933411423153705,5.935196542991099,0.132,0.21983333333333335,0.4,0.2,-1.0017851198373933
CHEMBL1697760,MUZOLIMINE,CC(c1ccc(Cl)c(Cl)c1)N1N=C(N)CC1=O,,False,True,CC(c1ccc(Cl)c(Cl)c1)N1N=C(N)CC1=O,6.5658267557599395,5.91512695806446,0.296,0.274,0.3125,0.3125,0.6506997976954798
CHEMBL1697768,SODIUM PICOSULFATE,O=S(=O)([O-])Oc1ccc(C(c2ccc(OS(=O)(=O)[O-])cc2)c2ccccn2)cc1.[Na+].[Na+],2012.0,True,False,O=S(=O)([O-])Oc1ccc(C(c2ccc(OS(=O)(=O)[O-])cc2)c2ccccn2)cc1,6.542570283959642,5.729717307156301,0.191,0.263,0.25,0.2,0.8128529768033408
