molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_units,standard_value,pchembl_value,document_chembl_id,data_validity_comment
CHEMBL93645,O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,IC50,,,,,CHEMBL1909046,
CHEMBL93645,O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,Ki,,,,,CHEMBL1909046,
CHEMBL5314404,CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H]([C@@H]2[C@H]5O)N3[C@@H]1O,IC50,,,,,CHEMBL1909046,
CHEMBL5314404,CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H]([C@@H]2[C@H]5O)N3[C@@H]1O,Ki,,,,,CHEMBL1909046,
CHEMBL1403281,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,IC50,,,,,CHEMBL1909046,
CHEMBL1403281,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,Ki,,,,,CHEMBL1909046,
CHEMBL1365675,Cc1ccc(/N=C/N(C)/C=N/c2ccc(C)cc2C)c(C)c1,IC50,,,,,CHEMBL1909046,
CHEMBL1365675,Cc1ccc(/N=C/N(C)/C=N/c2ccc(C)cc2C)c(C)c1,Ki,,,,,CHEMBL1909046,
CHEMBL1566249,CCOC(=O)OC(C)OC1=C(C(=O)Nc2ccccn2)N(C)S(=O)(=O)c2ccccc21,IC50,,,,,CHEMBL1909046,
CHEMBL1566249,CCOC(=O)OC(C)OC1=C(C(=O)Nc2ccccn2)N(C)S(=O)(=O)c2ccccc21,Ki,,,,,CHEMBL1909046,
CHEMBL1544,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,IC50,,,,,CHEMBL1909046,
CHEMBL1544,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,Ki,,,,,CHEMBL1909046,
CHEMBL945,N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,IC50,,,,,CHEMBL1909046,
CHEMBL945,N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,Ki,,,,,CHEMBL1909046,
CHEMBL1909049,COc1ccccc1C(=O)N1CCC(Cc2ccccc2)CC1,IC50,,,,,CHEMBL1909046,
CHEMBL1909049,COc1ccccc1C(=O)N1CCC(Cc2ccccc2)CC1,Ki,,,,,CHEMBL1909046,
