molecule_chembl_id,pref_name,clean_smiles,first_approval,pred_IDO1,pred_TDO2,pred_M,pred_D,LCB_IDO1,LCB_TDO2,LCB_dual,P_dual_active,P_balanced_dual,AD_maxTanimoto,in_domain,LCB_dual_standard,LCB_dual_normalized,LCB_dual_pacr,AD_dist_to_paired,PACR_chem_dist_to_ptr,PACR_doc_dist_to_ptr
CHEMBL1617,RIFAXIMIN,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,2004.0,6.87,6.1,6.49,0.77,5.45,4.92,4.92,0.53,0.436,0.16,False,4.721278769618383,4.3935625070877675,4.117573045509459,0.84033614,0.8545455,0.8661417365074158
CHEMBL1213351,PROPOXYPHENE,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C,1957.0,5.34,5.02,5.18,0.32,3.92,3.84,3.84,0.028,0.028,0.205,False,4.364779935592079,4.355467567679544,4.11748676592846,0.79452056,0.8,0.8441039323806763
CHEMBL1593906,LEVOPROPOXYPHENE NAPSYLATE,CCC(=O)O[C@@](Cc1ccccc1)(c1ccccc1)[C@@H](C)CN(C)C,1962.0,5.34,5.02,5.18,0.32,3.92,3.84,3.84,0.028,0.028,0.205,False,4.364779935592079,4.355467567679544,4.11748676592846,0.79452056,0.8,0.8441039323806763
CHEMBL434,ISOPROTERENOL,CC(C)NCC(O)c1ccc(O)c(O)c1,1956.0,5.31,4.89,5.1,0.43,3.89,3.71,3.71,0.022,0.022,0.233,False,4.27926848160179,4.261878144802184,4.117043702078993,0.76666665,0.7777778,0.8158463388681412
CHEMBL39736,BUFORMIN,CCCCNC(=N)NC(=N)N,,5.49,5.14,5.31,0.35,4.06,3.96,3.96,0.039,0.039,0.102,False,4.175286829543568,4.299294185996931,4.116868347035312,0.89830506,0.9166667,0.9336257204413414
CHEMBL1908359,SODIUM MONOFLUOROPHOSPHATE,O=P([O-])([O-])F,1986.0,5.3,5.15,5.22,0.15,3.87,3.97,3.87,0.028,0.028,0.085,False,4.184330574482215,4.319510970008309,4.116668114488418,0.91525424,0.9411765,0.952091321349144
CHEMBL453,SULFISOXAZOLE,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,1971.0,6.27,6.01,6.14,0.26,4.84,4.83,4.83,0.381,0.376,0.224,False,4.353204752425037,4.336428486373875,4.1165201460129115,0.7758621,0.8305085,0.8695051670074463
CHEMBL1200899,TYROPANOATE SODIUM,CCCC(=O)Nc1c(I)cc(I)c(CC(CC)C(=O)[O-])c1I,1969.0,6.11,4.53,5.32,1.58,4.69,3.36,3.36,0.017,0.017,0.159,False,4.415196205641535,4.334949264639955,4.115903995588465,0.84146345,0.85057473,0.8705500364303589
CHEMBL606260,CARBENICILLIN DISODIUM,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)[O-])c3ccccc3)C(=O)N2[C@H]1C(=O)[O-],1982.0,6.46,6.03,6.25,0.42,5.03,4.86,4.86,0.414,0.398,0.211,False,4.464551635643367,4.279950207689703,4.115867380973369,0.7887324,0.7887324,0.8268254697322845
CHEMBL643,PROMETHAZINE,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,1951.0,5.99,5.92,5.96,0.07,4.56,4.75,4.56,0.276,0.265,0.175,False,4.512400979287601,4.302417567040645,4.114102029723654,0.8245614,0.8448276,0.8544872105121613
CHEMBL4297403,MELPHALAN FLUFENAMIDE HYDROCHLORIDE,CCOC(=O)[C@H](Cc1ccc(F)cc1)NC(=O)[C@@H](N)Cc1ccc(N(CCCl)CCCl)cc1,2021.0,5.6,5.19,5.4,0.4,4.17,4.02,4.02,0.05,0.044,0.2,False,4.297578057938657,4.2869465945851415,4.113907682564082,0.8,0.80851066,0.8227335810661316
CHEMBL1200866,PERFLUBRON,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,1993.0,5.25,5.12,5.19,0.13,3.83,3.94,3.83,0.028,0.028,0.108,False,4.249432788244372,4.333921140704401,4.1135233604057815,0.8918919,0.9047619,0.9351431205868721
CHEMBL1086440,TRICLABENDAZOLE,CSc1nc2cc(Cl)c(Oc3cccc(Cl)c3Cl)cc2[nH]1,2019.0,5.54,4.98,5.26,0.56,4.11,3.8,3.8,0.028,0.028,0.218,False,4.243433780790688,4.332989034609382,4.113424850386657,0.78181815,0.8387097,0.8518518507480621
CHEMBL1201319,METARAMINOL,C[C@H](N)[C@H](O)c1cccc(O)c1,1954.0,5.45,4.99,5.22,0.46,4.02,3.81,3.81,0.028,0.028,0.297,False,4.259373127774148,4.254587508069369,4.11250663735333,0.7027027,0.8113208,0.8497316092252731
CHEMBL108545,METHYL SALICYLATE,COC(=O)c1ccccc1O,2008.0,5.17,5.0,5.08,0.18,3.75,3.82,3.75,0.022,0.022,0.4,True,3.9699660285876974,4.225138168458619,4.112428969500863,0.6,0.6,0.7380116879940033
CHEMBL870,ALENDRONIC ACID,NCCCC(O)(P(=O)(O)O)P(=O)(O)O,1995.0,5.31,5.13,5.22,0.18,3.88,3.95,3.88,0.028,0.028,0.101,False,4.178595763833964,4.313500779794993,4.112410548863311,0.89855075,0.92,0.9285714253783226
CHEMBL1624,LEVOTHYROXINE,N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,1982.0,5.34,5.06,5.2,0.28,3.91,3.88,3.88,0.028,0.028,0.228,False,4.271222932901932,4.287444238608472,4.112408045402246,0.77192986,0.77192986,0.8564562350511551
CHEMBL559,DEXTROTHYROXINE,N[C@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,1967.0,5.34,5.06,5.2,0.28,3.91,3.88,3.88,0.028,0.028,0.228,False,4.271222932901932,4.287444238608472,4.112408045402246,0.77192986,0.77192986,0.8564562350511551
CHEMBL2107834,RIOCIGUAT,COC(=O)N(C)c1c(N)nc(-c2nn(Cc3ccccc3F)c3ncccc23)nc1N,2013.0,6.08,5.75,5.91,0.33,4.65,4.57,4.57,0.238,0.232,0.233,False,4.545593802353283,4.33186168186592,4.112229409541568,0.76666665,0.79012346,0.8153115063905716
CHEMBL679,EPINEPHRINE,CNC[C@H](O)c1ccc(O)c(O)c1,1965.0,5.32,4.87,5.09,0.44,3.89,3.69,3.69,0.022,0.022,0.241,False,4.2733286185465165,4.258085422322192,4.112201592147168,0.7586207,0.7924528,0.8232152611017227
