split_seed,method,tau,feature_set,n_proper_train,n_calibration,n_test,theta_M,theta_D,coverage_IDO1,width_IDO1,coverage_TDO2,width_TDO2,coverage_M,width_M,coverage_D,width_D,ad_q1_coverage_IDO1,ad_q4_coverage_IDO1,ad_coverage_mad_IDO1,ad_q1_width_IDO1,ad_q4_width_IDO1,doc_q1_coverage_IDO1,doc_q4_coverage_IDO1,doc_coverage_mad_IDO1,doc_q1_width_IDO1,doc_q4_width_IDO1,width_error_corr_IDO1,deck_max_LCB_dual,deck_n_clear_dual,deck_top_pref_name,tau_label
1,pacr_doc,0.7,doc,161,199,324,0;0,0;0,0.8703703703703703,2.1857136234791135,0.8395061728395061,1.7718814556213582,0.8641975308641975,1.6572416998866457,0.8703703703703703,2.0496754939984427,0.8888888888888888,0.8271604938271605,0.03641975308641976,1.9045631585871825,2.5443236736821966,0.9012345679012346,0.8024691358024691,0.043209876543209874,1.8856698759732469,2.523048547652636,0.2125348552512158,5.642701591301038,0,MEROPENEM,0.70
1,pacr_chem_doc,0.7,chem_doc,161,199,324,0;0;0,0;0;0,0.8703703703703703,2.1857136234791135,0.8395061728395061,1.7718814556213582,0.8641975308641975,1.6572416998866457,0.8703703703703703,2.0496754939984427,0.8888888888888888,0.8271604938271605,0.03641975308641976,1.9045631585871825,2.5443236736821966,0.9012345679012346,0.8024691358024691,0.043209876543209874,1.8856698759732469,2.523048547652636,0.2125348552512158,5.642701591301038,0,MEROPENEM,0.70
1,pacr_chem,0.75,chem,161,199,324,0;0.04202,0;0,0.8734567901234568,2.1996289693853948,0.8487654320987654,1.7881536745299493,0.8703703703703703,1.6755742351853073,0.8703703703703703,2.0496754939984427,0.8888888888888888,0.8395061728395061,0.033333333333333354,1.9045631585871825,2.5852178571693263,0.9012345679012346,0.8148148148148148,0.04012345679012347,1.8858122145961032,2.561354183284213,0.21998127980536974,5.577202804824463,0,MEROPENEM,0.75
1,pacr_doc,0.75,doc,161,199,324,0;0,0;0,0.8703703703703703,2.1857136234791135,0.8395061728395061,1.7718814556213582,0.8641975308641975,1.6572416998866457,0.8703703703703703,2.0496754939984427,0.8888888888888888,0.8271604938271605,0.03641975308641976,1.9045631585871825,2.5443236736821966,0.9012345679012346,0.8024691358024691,0.043209876543209874,1.8856698759732469,2.523048547652636,0.2125348552512158,5.642701591301038,0,MEROPENEM,0.75
1,pacr_chem_doc,0.75,chem_doc,161,199,324,0;0.04202;0,0;0;0,0.8734567901234568,2.1996289693746203,0.8487654320987654,1.7881536745175166,0.8703703703703703,1.6755742351716718,0.8703703703703703,2.0496754939984427,0.8888888888888888,0.8395061728395061,0.033333333333333354,1.9045631585871825,2.5852178571372018,0.9012345679012346,0.8148148148148148,0.04012345679012347,1.8858122145959975,2.5613541832540645,0.21998127979918858,5.577202804873179,0,MEROPENEM,0.75
1,pacr_chem,0.8,chem,161,199,324,0;0.1665,0;0,0.8827160493827161,2.244599749263794,0.8641975308641975,1.83716114385834,0.8734567901234568,1.7298750667750533,0.8703703703703703,2.0496754939984427,0.8888888888888888,0.8765432098765432,0.02407407407407408,1.9045631585871825,2.721917625659934,0.9012345679012346,0.8395061728395061,0.037037037037037035,1.8862296597764425,2.6895107935577185,0.24027711328960374,5.43619349479377,0,MEROPENEM,0.80
1,pacr_doc,0.8,doc,161,199,324,0;0.1438,0;0,0.8827160493827161,2.227703227481056,0.8611111111111112,1.8186879572803833,0.8734567901234568,1.7097972934208159,0.8703703703703703,2.0496754939984427,0.8888888888888888,0.8765432098765432,0.02407407407407408,1.9065613087155522,2.6818747338836784,0.9012345679012346,0.8395061728395061,0.037037037037037035,1.8856698759732469,2.6615729071163154,0.24422480275422975,5.4620319307263525,0,MEROPENEM,0.80
1,pacr_chem_doc,0.8,chem_doc,161,199,324,0;0.1665;0,0;0;0,0.8827160493827161,2.244599748863775,0.8641975308641975,1.8371611434400048,0.8734567901234568,1.7298750663023192,0.8703703703703703,2.0496754939984427,0.8888888888888888,0.8765432098765432,0.02407407407407408,1.9045631585871825,2.721917624429597,0.9012345679012346,0.8395061728395061,0.037037037037037035,1.8862296597727573,2.689510792404703,0.24027711312449887,5.436193495971513,0,MEROPENEM,0.80
2,standard,,none,222,145,317,,,0.9337539432176656,2.5171523554738773,0.8233438485804416,2.0634093335438317,0.8643533123028391,1.9161158768566682,0.917981072555205,3.080087558836532,0.975,0.8481012658227848,0.05957278481012657,2.5171523554738777,2.5171523554738777,0.9875,0.8607594936708861,0.05320411392405064,2.5171523554738777,2.5171523554738777,-0.032137040152801756,4.9329475007134285,0,PILOCARPINE,baseline
2,normalized,,model_unc,222,145,317,,,0.9116719242902208,2.2429995150578503,0.8391167192429022,2.0676588958206423,0.8738170347003155,1.8137931062518255,0.917981072555205,2.617640954123936,0.9125,0.8734177215189873,0.02496044303797465,1.875694609661899,2.5491844825297685,0.9375,0.8987341772151899,0.03184335443037972,1.899892556582619,2.5359777821022362,0.24910884417914167,5.052123779876251,0,OSILODROSTAT,baseline
