clean_smiles,pIC50_cox1,src_doc_cox1,molid_cox1,pIC50_cox2,src_doc_cox2,molid_cox2,M,D,scaffold,src_doc
CC(C(=O)[O-])c1ccc(C[C@H]2CCC[C@H]2O)cc1-c1ccc(O)cc1,4.33,CHEMBL1811892,CHEMBL1814728,4.77,CHEMBL1811892,CHEMBL1814728,4.55,-0.4399999999999995,c1ccc(-c2cccc(CC3CCCC3)c2)cc1,CHEMBL1811892
CC(C)(C)OC1Oc2ccccc2-c2nc(NN)ncc21,7.27,CHEMBL1938325,CHEMBL1938840,7.22,CHEMBL1938325,CHEMBL1938840,7.244999999999999,0.04999999999999982,c1ccc2c(c1)OCc1cncnc1-2,CHEMBL1938325
CC(C)(C)Oc1nc(-c2ccc(S(C)(=O)=O)cc2)cc(C(F)(F)F)n1,4.28,CHEMBL1153635,CHEMBL550537,7.48,CHEMBL1153635,CHEMBL550537,5.880000000000001,-3.2,c1ccc(-c2ccncn2)cc1,CHEMBL1153635
CC(C)(C)c1cc(-c2cc(=S)ss2)cc(C(C)(C)C)c1O,5.44,CHEMBL1154518,CHEMBL462911,8.14,CHEMBL1154518,CHEMBL462911,6.790000000000001,-2.7,S=c1cc(-c2ccccc2)ss1,CHEMBL1154518
CC(C)(C)c1cc(-c2cccs2)cc2c1OCC2(C)C,6.7,CHEMBL1131087,CHEMBL118839,7.16,CHEMBL1131087,CHEMBL118839,6.93,-0.45999999999999996,c1csc(-c2ccc3c(c2)CCO3)c1,CHEMBL1131087
CC(C)(C)c1cc(-c2cn3ccsc3n2)cc2c1OCC2(C)C,7.12,CHEMBL1131087,CHEMBL332028,7.82,CHEMBL1131087,CHEMBL332028,7.470000000000001,-0.7000000000000002,c1cn2cc(-c3ccc4c(c3)CCO4)nc2s1,CHEMBL1131087
CC(C)(C)c1cc(-c2csc(N=C(N)N)n2)cc2c1OCC2(C)C,4.82,CHEMBL1131087,CHEMBL117682,5.05,CHEMBL1131087,CHEMBL117682,4.9350000000000005,-0.22999999999999954,c1nc(-c2ccc3c(c2)CCO3)cs1,CHEMBL1131087
CC(C)(C)c1cc(-c2nnc(N)s2)cc(C(C)(C)C)c1O,6.28,CHEMBL1132622,CHEMBL417073,5.46,CHEMBL1132622,CHEMBL417073,5.87,0.8200000000000003,c1ccc(-c2nncs2)cc1,CHEMBL1132622
CC(C)(C)c1cc(-c2nnc(N=C(N)N)o2)cc(C(C)(C)C)c1O,5.55,CHEMBL1132622,CHEMBL16878,4.64,CHEMBL1132622,CHEMBL16878,5.095,0.9100000000000001,c1ccc(-c2nnco2)cc1,CHEMBL1132622
CC(C)(C)c1cc(-c2nnc(N=C(N)N)s2)cc(C(C)(C)C)c1O,5.55,CHEMBL1132622,CHEMBL16826,4.77,CHEMBL1132622,CHEMBL16826,5.16,0.7800000000000002,c1ccc(-c2nncs2)cc1,CHEMBL1132622
CC(C)(C)c1cc(-c2nnc(NC#N)o2)cc(C(C)(C)C)c1O,5.24,CHEMBL1132622,CHEMBL16814,4.96,CHEMBL1132622,CHEMBL16814,5.1,0.28000000000000025,c1ccc(-c2nnco2)cc1,CHEMBL1132622
CC(C)(C)c1cc(-c2nnc(NN)s2)cc(C(C)(C)C)c1O,5.5,CHEMBL1132622,CHEMBL16891,5.89,CHEMBL1132622,CHEMBL16891,5.695,-0.3899999999999997,c1ccc(-c2nncs2)cc1,CHEMBL1132622
CC(C)(C)c1cc(-c2noc(NC#N)n2)cc(C(C)(C)C)c1O,5.92,CHEMBL1132622,CHEMBL16981,7.19,CHEMBL1132622,CHEMBL16981,6.555,-1.2700000000000005,c1ccc(-c2ncon2)cc1,CHEMBL1132622
CC(C)(C)c1cc(-c2nsc(N=C(N)N)n2)cc(C(C)(C)C)c1O,5.77,CHEMBL1132622,CHEMBL17104,4.57,CHEMBL1132622,CHEMBL17104,5.17,1.1999999999999993,c1ccc(-c2ncsn2)cc1,CHEMBL1132622
CC(C)(C)c1cc(-c2nsc(NC#N)n2)cc(C(C)(C)C)c1O,5.92,CHEMBL1132622,CHEMBL17229,7.33,CHEMBL1132622,CHEMBL17229,6.625,-1.4100000000000001,c1ccc(-c2ncsn2)cc1,CHEMBL1132622
